metric,value,unit,year,method,confirmed,source_id,notes
Canopy cover,49.9127,percent,2016,King-County-GIS-parcel-analysis,yes,src-kc-canopy-2016,"Confirmed from King County DNRP 2016 Tree Canopy Study GIS analysis (1476.72 / 2298.31 acres). Supersedes qualitative ~50% from LFP CAP. Note: study year is 2016; a 2019 update has not been confirmed — treat as approximate 2019 baseline pending newer assessment."
Total city area,2298.31,acres,2016,King-County-GIS-parcel-analysis,yes,src-kc-canopy-2016,"Total city area from King County DNRP 2016 Tree Canopy Study."
Canopy area,1476.72,acres,2016,King-County-GIS-parcel-analysis,yes,src-kc-canopy-2016,"Total canopy area from King County DNRP 2016 Tree Canopy Study. Largest continuous canopy block: 244.66 acres."
Largest continuous canopy area,244.66,acres,2016,King-County-GIS-parcel-analysis,yes,src-kc-canopy-2016,"Largest single contiguous canopy patch. Likely associated with undeveloped forested parcels or parks."
Tallest tree,191,feet,2016,King-County-GIS-field-data,yes,src-kc-canopy-2016,"Tallest tree = 191 ft, located in Big Tree Park."
Annual net sequestration,-5535,MTCO2e_per_yr,2019,ICLEI-LEARN-tool,yes,src-cascadia-ghg-inventory,"Confirmed from LFP GHG Inventory Report (Figure 10). ICLEI LEARN tool with city GIS boundary, 2016-2019 average. Negative = sink (carbon removed from atmosphere). Reported SEPARATELY from gross emissions, not netted into the 95745 communitywide total. Far exceeds the earlier i-Tree benchmark guess of 500-2000 MTCO2e/yr."
Annual net sequestration,-5550,MTCO2e_per_yr,2023,ICLEI-LEARN-tool,yes,src-cascadia-ghg-inventory,"Confirmed from LFP GHG Inventory Report (Figure 10). ICLEI LEARN tool, 2019-2021 average. Negative = sink. Reported separately from gross emissions. Offsets ~5.8% of gross communitywide 2023 (95897 MTCO2e)."
Tree loss emissions,727,MTCO2e_per_yr,2019,ICLEI-LEARN-tool,yes,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3 (Land Use). Gross emissions from canopy loss / land conversion. Counted as a source in the 95745 communitywide total. Net land-use flux 2019 = 727 - 5535 = -4808 MTCO2e (net sink)."
Tree loss emissions,510,MTCO2e_per_yr,2023,ICLEI-LEARN-tool,yes,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3 (Land Use). Down 30% vs 2019. Net land-use flux 2023 = 510 - 5550 = -5040 MTCO2e (net sink)."
Total carbon stock,,tonnes_C,,i-Tree Eco,no,src-itree,"NE pending i-Tree Eco run. Carbon stock = standing carbon stored in trees (distinct from annual sequestration flux, which is now confirmed via LEARN). Convert to CO2e via x44/12 in code. An i-Tree Eco run would quantify stock and refine the LEARN sequestration estimate."
Tree count estimate,,trees,,i-Tree Eco,no,src-itree,"NE pending i-Tree run. Rough proxy: Pacific NW urban canopy at ~1477 acres with mixed conifer/deciduous suggests ~50,000-150,000 trees, but highly uncertain without field data."
